VideoGameID,VGName,Platform,YearOfRelease,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,CriticScore,Critic_Count,UserScore,User_Count,Developer
57,Mario Kart: Double Dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,6.95,,,,,
58,Crash Bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,6.82,,,,,
59,Donkey Kong Country Returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios
60,Pokemon Emerald Version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak
61,Kingdom Hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft
62,Pokemon Crystal Version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,6.39,,,,,
63,Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo
64,Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,6.3,,,,,
65,Sonic the Hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,6.03,,,,,
66,LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,"SCE/WWS, Media Molecule"
67,Cooking Mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation
68,Tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,5.58,,,,,
69,Super Smash Bros.,N64,1999,Fighting,2.95,0.6,1.97,0.04,5.55,,,,,
70,Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo
71,Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios
72,Mario Kart: Super Circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems
73,Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,5.46,,,,,
74,Pokemon Stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,5.45,,,,,
75,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales
76,Dr. Mario,GB,1989,Puzzle,2.18,0.96,2,0.2,5.34,,,,,
77,Pokemon Pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,5.31,,,,,
78,Donkey Kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,5.27,,,,,
79,Minecraft,PS3,2014,Misc,2.03,2.37,0,0.87,5.26,,,,,
80,Tomb Raider II,PS,1997,Action,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.
81,Tomodachi Life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,5.23,,,,,
82,New Super Mario Bros. U,WiiU,2012,Platform,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo
83,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5
84,Super Mario Bros. 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,5.2,,,,,
85,Super Mario Land 3: Wario Land,GB,1994,Platform,2.49,0.98,1.57,0.15,5.19,,,,,
86,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15,,,,,
87,Kirby's Dream Land,GB,1992,Platform,2.71,0.61,1.7,0.11,5.13,,,,,
88,Mario & Sonic at the Olympic Games,DS,2008,Sports,1.63,2.45,0.44,0.57,5.09,,,,,
89,Super Mario Bros.,GB,1999,Platform,3.4,1.3,0.15,0.22,5.07,,,,,
90,Spyro the Dragon,PS,1998,Platform,3.36,1.36,0.07,0.21,5,,,,,
91,Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,"Neversoft Entertainment, BudCat"
92,Link's Crossbow Training,Wii,2007,Shooter,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,Nintendo
93,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,4.93,,,,,
94,Fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Bethesda Game Studios
95,Uncharted: Drake's Fortune,PS3,2007,Action,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,"Naughty Dog, SCE/WWS"
96,Madden NFL 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports
97,Diddy Kong Racing,N64,1997,Racing,2.91,0.99,0.89,0.1,4.88,,,,,
98,Monster Hunter Freedom 3,PSP,2010,Role-Playing,0,0,4.87,0,4.87,,,,,
99,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6,1.08,0.81,0.38,4.87,,,,,
100,Dr. Mario,NES,1990,Puzzle,2.62,0.6,1.52,0.1,4.85,,,,,
101,Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1472,Rocksteady Studios
102,Tomb Raider,PS,1996,Action,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,Core Design Ltd.
103,Animal Crossing: City Folk,Wii,2008,Simulation,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,Nintendo
104,Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games
105,Luigi's Mansion: Dark Moon,3DS,2013,Action,1.8,1.39,1.11,0.29,4.59,86,74,8.4,458,Next Level Games
106,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,1.87,1.96,0.22,0.48,4.53,,,,,
107,Spider-Man: The Movie,PS2,2002,Action,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,Treyarch
108,Michael Jackson: The Experience,Wii,2010,Misc,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier"
109,Sonic the Hedgehog,GEN,1991,Platform,3.03,0.91,0.26,0.13,4.34,,,,,
110,Kingdom Hearts II,PS2,2005,Role-Playing,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix
111,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,2.09,1.31,0.62,0.31,4.33,,,,,
112,Super Mario 3D World,WiiU,2013,Platform,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,Nintendo
113,Minecraft,PS4,2014,Misc,1.48,2.02,0.14,0.68,4.32,,,,,
114,Batman: Arkham Asylum,PS3,2009,Action,2.24,1.31,0.07,0.61,4.23,91,70,8.9,1122,Rocksteady Studios
115,Teenage Mutant Ninja Turtles,NES,1989,Action,3.38,0.44,0.31,0.04,4.17,,,,,
116,Street Fighter IV,PS3,2009,Fighting,2.03,1.04,0.58,0.52,4.16,94,61,7.3,330,Capcom
117,Excitebike,NES,1984,Racing,2.04,0.48,1.57,0.07,4.16,,,,,
118,Frogger,PS,1997,Action,3.79,0.27,0,0.11,4.16,,,,,
119,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,1.65,0.61,1.76,0.09,4.12,,,,,
120,Street Fighter II Turbo,SNES,1992,Fighting,1.42,0.51,2.1,0.07,4.1,,,,,
121,Batman: Arkham Knight,PS4,2015,Action,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Rocksteady Studios
122,Donkey Kong Land,GB,1994,Platform,1.97,0.76,1.07,0.11,3.91,,,,,
123,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,2.23,0.47,0.81,0.26,3.77,,,,,
124,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,2.4,1.01,0,0.36,3.76,77,60,7.5,66,Traveller's Tales
125,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,1.12,1.87,0.27,0.45,3.72,,,,,
126,Super Paper Mario,Wii,2007,Platform,1.95,0.86,0.59,0.31,3.71,85,56,7.9,417,Intelligent Systems
127,Spyro: Year of the Dragon,PS,2000,Platform,1.93,1.58,0,0.19,3.71,91,15,8.8,207,Insomniac Games
128,Pokemon Trading Card Game,GB,1998,Strategy,1.49,0.73,1.38,0.1,3.7,,,,,
129,Pokemon Snap,N64,1999,Simulation,2.23,0.68,0.66,0.06,3.63,,,,,
130,The Simpsons: Road Rage,PS2,2001,Racing,2.02,1.17,0,0.42,3.61,64,23,7.7,32,Fox Interactive
131,Luigi's Mansion,GC,2001,Action,2.38,0.67,0.46,0.1,3.6,78,34,8.5,161,Nintendo
132,Croc: Legend of the Gobbos,PS,1997,Platform,1.57,1.79,0,0.2,3.56,,,,,
133,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,1.66,1.58,0.12,0.18,3.54,,,,,
134,Spyro 2: Ripto's Rage!,PS,1999,Platform,2.14,1.21,0.01,0.17,3.52,,,,,
135,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,1.17,0.5,1.75,0.08,3.51,,,,,
136,Batman: Arkham Asylum,X360,2009,Action,2.2,0.95,0.02,0.31,3.48,92,78,8.7,1080,Rocksteady Studios
137,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,1.21,1.62,0.27,0.37,3.46,,,,,
138,Spider-Man 2,PS2,2004,Action,1.75,1.2,0.02,0.43,3.41,80,50,8.9,106,Treyarch
139,LittleBigPlanet 2,PS3,2011,Platform,1.83,1.05,0.06,0.46,3.39,91,86,8.4,657,Media Molecule
140,Crash Bash,PS,2000,Misc,1.56,1.47,0.19,0.17,3.39,68,12,8.2,99,Eurocom Entertainment Software
141,LEGO Batman: The Videogame,X360,2008,Action,2.04,1.02,0,0.32,3.38,76,49,7.9,75,Traveller's Tales
142,The Legend of Zelda: Spirit Tracks,DS,2009,Action,1.4,0.91,0.74,0.26,3.31,87,75,7.8,228,Nintendo
143,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,0,0,3.19,0,3.19,,,,,
144,Animal Crossing,GC,2001,Simulation,1.92,0.16,0.99,0.09,3.15,87,42,8.9,137,Nintendo
145,Club Penguin: Elite Penguin Force,DS,2008,Adventure,1.87,0.97,0,0.3,3.14,,,8,37,1st Playable Productions
146,Spider-Man,PS,2000,Action,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment
147,Mario Party 9,Wii,2012,Misc,1.06,1.09,0.76,0.22,3.13,73,45,6.8,155,Nd Cube
148,Sonic Rush,DS,2005,Platform,1.21,1.56,0.06,0.29,3.12,82,43,8.5,101,"Dimps Corporation, Sonic Team"
149,Rhythm Heaven,DS,2008,Misc,0.55,0.5,1.93,0.13,3.11,83,48,9,63,Nintendo
150,Dragon Ball Z: Budokai,PS2,2002,Fighting,2.17,0.28,0.55,0.08,3.09,67,28,7.9,71,Dimps Corporation
151,Donkey Kong,GB,1994,Platform,1.57,0.62,0.55,0.34,3.07,,,,,
152,LEGO Batman: The Videogame,Wii,,Action,1.8,0.97,0,0.29,3.06,74,17,7.9,22,Traveller's Tales
153,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,0.51,1.02,1.4,0.12,3.05,66,60,6.9,106,Nintendo
154,LEGO Batman: The Videogame,DS,2008,Action,1.75,1.01,0,0.29,3.05,72,16,8,16,TT Fusion
155,Kung Fu Panda,X360,2008,Action,1.91,0.84,0,0.29,3.04,75,42,7.4,32,"Luxoflux, Inc."
156,Rayman,PS,1995,Platform,1.54,1.33,0,0.16,3.03,,,,,
157,Saints Row 2,X360,2008,Action,1.94,0.79,0.02,0.28,3.03,81,75,8.1,307,Volition Inc.
158,Epic Mickey,Wii,2010,Platform,2.04,0.63,0.12,0.22,3,73,78,7,131,Junction Point
159,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,1.15,0,0.76,1.09,3,73,24,9.2,173,"Spike, Namco Bandai Games"
160,Sonic Heroes,PS2,2003,Platform,1.04,1.37,0.06,0.49,2.96,64,29,7.8,94,Sonic Team
161,Pac-Man Collection,GBA,2001,Puzzle,2.07,0.77,0.05,0.05,2.94,79,13,7.8,4,Mass Media
162,Street Fighter IV,X360,2009,Fighting,1.82,0.7,0.15,0.26,2.94,93,77,7.3,292,Capcom
163,Kirby Super Star Ultra,DS,2008,Platform,1.55,0.04,1.19,0.15,2.92,76,40,8.8,76,HAL Labs
164,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,1.75,0.45,0.62,0.09,2.91,,,,,
165,Sonic Mega Collection Plus,PS2,2004,Misc,1.54,1.14,0,0.22,2.9,73,21,8.6,30,Sonic Team
166,WarioWare: Smooth Moves,Wii,2006,Puzzle,0.86,1.04,0.73,0.26,2.89,83,61,7.4,179,Intelligent Systems
167,F-Zero,SNES,1990,Racing,1.37,0.51,0.89,0.07,2.85,,,,,
168,Yoshi's Story,N64,1997,Platform,1.29,0.53,0.98,0.05,2.85,,,,,
169,Mortal Kombat,PS3,2011,Fighting,1.98,0.53,0,0.34,2.84,84,60,8.4,494,NetherRealm Studios
170,Metroid Prime,GC,2002,Shooter,1.96,0.67,0.1,0.09,2.82,97,70,9.3,747,Retro Studios
171,Finding Nemo,GBA,2003,Action,1.59,1.05,0.04,0.14,2.82,,,7,8,Vicarious Visions
172,A Bug's Life,PS,1998,Platform,1.96,0.72,0,0.11,2.79,,,,,
173,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,0,0,2.78,0.01,2.79,,,,,
174,Mortal Kombat Trilogy,PS,1996,Fighting,1.98,0.7,0,0.11,2.79,,,,,
175,Mortal Kombat X,PS4,2015,Fighting,1.5,0.8,0,0.48,2.78,83,81,7.7,836,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
176,Minecraft,XOne,2014,Misc,1.61,0.9,0,0.25,2.76,,,,,
177,Yoshi's Island DS,DS,2006,Platform,1.45,0.07,1.1,0.15,2.76,81,42,7.4,67,Artoon
178,Saints Row: The Third,X360,2011,Action,1.25,1.14,0.07,0.3,2.76,84,70,7.6,490,Volition Inc.
179,Mario Paint,SNES,1992,Misc,1.43,0.54,0.71,0.07,2.75,,,,,
180,Pokemon Stadium 2,N64,2000,Strategy,1.02,0.36,1.13,0.23,2.73,,,,,
181,Metroid,NES,1986,Action,1.33,0.31,1.04,0.05,2.73,,,,,
182,Sonic and the Secret Rings,Wii,2007,Platform,1.21,1.19,0.04,0.29,2.73,69,44,6.6,174,Sonic Team
183,Mario Party,N64,1998,Misc,1.25,0.53,0.87,0.05,2.7,,,,,
184,Mortal Kombat,GEN,1992,Fighting,1.95,0.63,0,0.09,2.67,,,,,
185,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,1.63,0.51,0.35,0.18,2.67,79,51,7.7,18,Nintendo
186,Hannah Montana,DS,2006,Action,1.59,0.8,0,0.26,2.65,,,6.7,10,DC Studios
187,Super Mario Bros.: The Lost Levels,NES,1986,Platform,0,0,2.65,0,2.65,,,,,
188,Pac-Man: Adventures in Time,PSP,2006,Fighting,0.76,1.09,0.12,0.64,2.62,,,,,
189,Mario Strikers Charged,Wii,2007,Sports,1.05,1.05,0.24,0.24,2.58,79,47,8,124,Next Level Games
190,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,0.99,0.52,0.92,0.14,2.56,,,,,
191,Sonic Adventure 2 Battle,GC,2001,Platform,1.7,0.59,0.21,0.07,2.56,73,28,8.3,179,Sonic Team
192,Ghostbusters: The Video Game (DS Version),X360,2009,Action,1.04,1.22,0.03,0.27,2.56,,,,,
193,Pokemon Colosseum,GC,2003,Role-Playing,1.21,0.57,0.7,0.07,2.54,73,37,8,89,Genius Sonority Inc.
194,LittleBigPlanet,PSP,2009,Platform,0.64,1.22,0.01,0.67,2.54,87,68,7.8,98,"SCE/WWS, Media Molecule"
195,Mario Party 2,N64,1999,Misc,1.28,0.14,1.08,0.01,2.5,,,,,
196,Marvel: Ultimate Alliance,X360,2006,Role-Playing,2.29,0.02,0,0.19,2.5,82,68,7.5,120,Raven Software
197,Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,1.81,0.52,0,0.15,2.49,79,31,8.8,96,Midway
198,Game Party,Wii,2007,Misc,1.47,0.77,0,0.24,2.48,25,8,4.3,26,Midway
199,Tomb Raider: The Last Revelation,PS,1998,Action,1.15,1.14,0.06,0.13,2.48,,,,,
200,Mario Party 4,GC,2002,Misc,1.13,0.36,0.92,0.07,2.47,70,26,7.4,74,Hudson
201,Pure,X360,2008,Racing,1.38,0.84,0,0.25,2.47,85,55,7.7,83,Black Rock Studio
202,Saints Row: The Third,PS3,2011,Action,0.86,1.04,0.18,0.38,2.47,82,50,7.7,384,Volition Inc.
203,Sonic Adventure,DC,1998,Platform,1.26,0.61,0.46,0.08,2.42,,,,,
204,uDraw Studio,Wii,2010,Misc,1.65,0.57,0,0.2,2.42,71,9,0,,THQ
205,Tomb Raider (2013),PS3,2013,Action,0.6,1.26,0.08,0.48,2.42,,,,,
206,Dragon Ball Z: Budokai 2,PS2,2003,Fighting,1.63,0.22,0.51,0.06,2.41,66,28,8.2,92,Dimps Corporation
207,Tetris Plus,PS,1996,Puzzle,2.1,0.24,0,0.07,2.4,,,,,
208,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,2.15,0.18,0,0.07,2.39,73,4,0,,Konami Computer Entertainment Hawaii
209,Monopoly,PC,1994,Misc,1.49,0.81,0,0.1,2.39,,,,,
210,The Incredibles,PS2,2004,Action,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22,Heavy Iron Studios
211,Kirby's Dream Land 2,GB,1995,Platform,0.69,0.14,1.48,0.05,2.36,,,,,
212,Midnight Club: Los Angeles,X360,2008,Racing,1.68,0.45,0.01,0.21,2.35,81,66,8.5,142,Rockstar San Diego
213,Donkey Kong Land II,GB,1996,Platform,1.39,0.48,0.4,0.08,2.35,,,,,
214,Kinect: Disneyland Adventures,X360,2011,Misc,1.73,0.43,0.02,0.17,2.35,73,33,2.9,67,Frontier Developments
215,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,1.15,0.55,0.47,0.17,2.34,89,82,9,478,GREZZO
216,LEGO Indiana Jones: The Original Adventures,Wii,,Action,1.51,0.61,0,0.21,2.34,78,22,6.6,28,Traveller's Tales
217,Mario Tennis,N64,2000,Sports,0.78,0.4,1.06,0.07,2.32,,,,,
218,WarioWare Touched!,DS,2004,Puzzle,0.51,0.45,1.21,0.13,2.3,,,,,
219,Batman: Arkham Origins,PS3,2013,Action,1.07,0.8,0.04,0.38,2.29,76,46,7.7,668,WB Games Montreal
220,Tomb Raider II,PC,1997,Action,0.91,1.25,0,0.13,2.29,,,8.3,37,Core Design Ltd.
221,Mario Bros.,NES,1983,Platform,0.51,0.12,1.63,0.02,2.28,,,,,
222,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,0.94,0.53,0.62,0.18,2.28,68,24,8.2,27,"HAL Labs, Creatures Inc."
223,Kirby: Nightmare in Dream Land,GBA,2002,Platform,1.22,0.1,0.91,0.04,2.27,81,24,8.9,54,HAL Labs
224,Wario Land 4,GBA,2001,Platform,0.9,0.73,0.54,0.09,2.26,88,17,8.9,42,Nintendo
225,Sonic's Ultimate Genesis Collection,PS3,2009,Misc,1.34,0.6,0,0.31,2.26,80,35,8.6,43,Backbone Entertainment
226,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,1.48,0.25,0.46,0.06,2.25,87,55,9.4,306,Intelligent Systems
227,God of War: Ascension,PS3,2013,Action,1.23,0.63,0.04,0.35,2.25,80,89,7.5,914,SCE Santa Monica
228,Sonic Advance,GBA,2001,Platform,1.19,0.71,0.22,0.13,2.24,87,22,8.1,48,Sonic Team
229,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,1.05,0.91,0.04,0.24,2.24,74,53,5.7,72,Sega
230,New Super Luigi U,WiiU,2013,Platform,1.25,0.62,0.18,0.18,2.24,77,59,7.9,288,Nintendo
231,Spyro: Season of Ice,GBA,2001,Platform,1.29,0.83,0,0.11,2.23,74,16,8,13,Digital Eclipse
232,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,1.74,0.25,0.21,0.03,2.23,,,,,
233,Dance Dance Revolution X2,PS2,2009,Simulation,1.09,0.85,0,0.28,2.23,,,0,,Konami
234,LEGO Marvel Super Heroes,X360,2013,Action,1.24,0.79,0,0.19,2.22,80,37,7.6,127,TT Games
235,Frogger,2600,1981,Action,2.06,0.12,0,0.02,2.2,,,,,
236,Wario Land 3,GB,2000,Platform,1.11,0.51,0.34,0.23,2.2,,,,,
237,LEGO Indiana Jones: The Original Adventures,DS,2008,Action,1.4,0.59,0,0.2,2.2,80,15,7.9,16,TT Fusion
238,Kirby's Pinball Land,GB,1992,Misc,0.87,0.17,1.1,0.05,2.19,,,,,
239,Donkey Kong Country,GB,2000,Platform,1.04,0.72,0.3,0.13,2.19,,,,,
240,Saints Row,X360,2006,Action,1.17,0.77,0.02,0.22,2.18,81,74,7.5,211,Volition Inc.
241,Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,1.48,0.17,0.47,0.06,2.17,,,,,
242,The Sims: House Party,PC,2001,Simulation,1.23,0.83,0,0.1,2.16,74,17,7.9,30,Maxis
